x_year,organism_full,Resistant_Drug_Classes,Count,Total_Samples,Percentage,MDR_id
2017,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",8,43875,0.02,M6-001
2017,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists",6,43875,0.01,M4-011
2017,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Penicillins, β-lactam combination agents",5,43875,0.01,M5-006
2017,Escherichia coli,"Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins",5,43875,0.01,M4-024
2017,Escherichia coli,"Carbapenems, Folate pathway antagonists, Penicillins, β-lactam combination agents",5,43875,0.01,M4-030
2017,Escherichia coli,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",4,43875,0.01,M4-032
2017,Escherichia coli,"Cephalosporins, Fluoroquinolones, β-lactam combination agents",4,43875,0.01,M3-028
2017,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins",3,43875,0.01,M5-004
2017,Escherichia coli,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",3,43875,0.01,M5-016
2017,Escherichia coli,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins",3,43875,0.01,M4-027
2017,Escherichia coli,"Carbapenems, Fluoroquinolones, Penicillins, β-lactam combination agents",3,43875,0.01,M4-029
2017,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones",2,43875,0.0,M3-006
2017,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",2,43875,0.0,M5-012
2017,Escherichia coli,"Aminoglycosides, Fluoroquinolones, β-lactam combination agents",2,43875,0.0,M3-012
2017,Escherichia coli,"Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins",2,43875,0.0,M4-022
2017,Escherichia coli,"Cephalosporins, Folate pathway antagonists, β-lactam combination agents",2,43875,0.0,M3-030
2017,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones",1,43875,0.0,M4-001
2017,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins",1,43875,0.0,M5-002
2017,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Penicillins",1,43875,0.0,M4-003
2017,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, β-lactam combination agents",1,43875,0.0,M4-004
2017,Escherichia coli,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins",1,43875,0.0,M5-007
2017,Escherichia coli,"Aminoglycosides, Carbapenems, Penicillins",1,43875,0.0,M3-004
2017,Escherichia coli,"Aminoglycosides, Carbapenems, Penicillins, β-lactam combination agents",1,43875,0.0,M4-010
2017,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, β-lactam combination agents",1,43875,0.0,M4-013
2017,Escherichia coli,"Aminoglycosides, Cephalosporins, Folate pathway antagonists",1,43875,0.0,M3-007
2017,Escherichia coli,"Aminoglycosides, Folate pathway antagonists, β-lactam combination agents",1,43875,0.0,M3-014
2017,Escherichia coli,"Carbapenems, Cephalosporins, Penicillins",1,43875,0.0,M3-018
2017,Escherichia coli,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",1,43875,0.0,M5-020
2017,Escherichia coli,"Carbapenems, Folate pathway antagonists, Penicillins",1,43875,0.0,M3-023
2017,Escherichia coli,"Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",1,43875,0.0,M3-033
2018,Escherichia coli,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",3236,41364,7.82,M4-031
2018,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",3201,41364,7.74,M5-011
2018,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",2173,41364,5.25,M6-006
2018,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Penicillins",1872,41364,4.53,M4-017
2018,Escherichia coli,"Fluoroquinolones, Folate pathway antagonists, Penicillins",1868,41364,4.52,M3-032
2018,Escherichia coli,"Cephalosporins, Fluoroquinolones, Penicillins",1696,41364,4.1,M3-027
2018,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins",1248,41364,3.02,M4-012
2018,Escherichia coli,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins",1226,41364,2.96,M4-014
2018,Escherichia coli,"Aminoglycosides, Folate pathway antagonists, Penicillins",1129,41364,2.73,M3-013
2018,Escherichia coli,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",1023,41364,2.47,M5-021
2018,Escherichia coli,"Cephalosporins, Folate pathway antagonists, Penicillins",932,41364,2.25,M3-029
2018,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",708,41364,1.71,M7-001
2018,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",706,41364,1.71,M5-013
2018,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Penicillins",659,41364,1.59,M3-011
2018,Escherichia coli,"Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",505,41364,1.22,M4-033
2018,Escherichia coli,"Aminoglycosides, Cephalosporins, Penicillins",469,41364,1.13,M3-008
2018,Escherichia coli,"Folate pathway antagonists, Penicillins, β-lactam combination agents",378,41364,0.91,M3-041
2018,Escherichia coli,"Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",257,41364,0.62,M4-034
2018,Escherichia coli,"Cephalosporins, Penicillins, β-lactam combination agents",240,41364,0.58,M3-031
2018,Escherichia coli,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",223,41364,0.54,M5-014
2018,Escherichia coli,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",201,41364,0.49,M6-007
2018,Escherichia coli,"Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",186,41364,0.45,M4-035
2018,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",174,41364,0.42,M5-015
2018,Escherichia coli,"Fluoroquinolones, Penicillins, β-lactam combination agents",146,41364,0.35,M3-039
2018,Escherichia coli,"Aminoglycosides, Cephalosporins, Penicillins, β-lactam combination agents",112,41364,0.27,M4-016
2018,Escherichia coli,"Aminoglycosides, Folate pathway antagonists, Penicillins, β-lactam combination agents",85,41364,0.21,M4-020
2018,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Penicillins, β-lactam combination agents",82,41364,0.2,M4-019
2018,Escherichia coli,"Aminoglycosides, Penicillins, β-lactam combination agents",44,41364,0.11,M3-015
2018,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists",42,41364,0.1,M3-010
2018,Escherichia coli,"Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",24,41364,0.06,M5-018
2018,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",21,41364,0.05,M6-003
2018,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",18,41364,0.04,M6-004
2018,Escherichia coli,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists",14,41364,0.03,M3-026
2018,Escherichia coli,"Carbapenems, Penicillins, β-lactam combination agents",10,41364,0.02,M3-025
2018,Escherichia coli,"Carbapenems, Cephalosporins, Penicillins, β-lactam combination agents",9,41364,0.02,M4-026
2018,Escherichia coli,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",8,41364,0.02,M5-016
2018,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",7,41364,0.02,M6-001
