organism_full,year,month,province,Resistant_Drug_Classes,pattern_count,total_rows_in_month,percentage
Staphylococcus aureus,2020,5,พิจิตร,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Staphylococcus aureus,2020,5,ราชบุรี,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,11,18.18
Staphylococcus aureus,2020,5,ราชบุรี,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,11,9.09
Staphylococcus aureus,2020,5,ศรีสะเกษ,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Staphylococcus aureus,2020,5,สมุทรปราการ,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",4,10,40.0
Staphylococcus aureus,2020,5,เลย,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2020,6,กรุงเทพมหานคร,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,10,30.0
Staphylococcus aureus,2020,6,กรุงเทพมหานคร,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,10,20.0
Staphylococcus aureus,2020,6,ขอนแก่น,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,8,25.0
Staphylococcus aureus,2020,6,ขอนแก่น,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,8,12.5
Staphylococcus aureus,2020,6,ขอนแก่น,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,8,12.5
Staphylococcus aureus,2020,6,ชุมพร,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,5,40.0
Staphylococcus aureus,2020,6,ชุมพร,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,5,20.0
Staphylococcus aureus,2020,6,นครปฐม,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,4,50.0
Staphylococcus aureus,2020,6,น่าน,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2020,6,ราชบุรี,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,5,40.0
Staphylococcus aureus,2020,6,ราชบุรี,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,5,20.0
Staphylococcus aureus,2020,6,ราชบุรี,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,5,20.0
Staphylococcus aureus,2020,6,ศรีสะเกษ,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2020,6,สมุทรปราการ,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,12,33.33
Staphylococcus aureus,2020,6,สมุทรปราการ,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,12,16.67
Staphylococcus aureus,2020,6,สมุทรสาคร,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2020,6,เพชรบุรี,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2020,7,กรุงเทพมหานคร,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",9,19,47.37
Staphylococcus aureus,2020,7,กรุงเทพมหานคร,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,19,10.53
Staphylococcus aureus,2020,7,กรุงเทพมหานคร,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,19,5.26
Staphylococcus aureus,2020,7,นครปฐม,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,4,75.0
Staphylococcus aureus,2020,7,นครปฐม,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,4,25.0
Staphylococcus aureus,2020,7,นราธิวาส,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,2,50.0
