Bacteria,Ward_Type,Drug_Name,ACF_Lag12,Seasonal_Strength,Has_Seasonality
Pseudomonas aeruginosa,icu,ceftazidime,0.22267313258371052,0.3855839870009392,True
Pseudomonas aeruginosa,icu,ciprofloxacin,0.04366287053538875,0.24861464992482474,False
Pseudomonas aeruginosa,icu,colistin,0.26093012404499805,0.0,False
Pseudomonas aeruginosa,icu,gentamicin,0.10775849116910795,0.41015721092997615,True
Pseudomonas aeruginosa,icu,imipenem,0.12101194025463628,0.032865546379689414,False
Pseudomonas aeruginosa,icu,levofloxacin,0.309346242521034,0.007973070713838348,False
Pseudomonas aeruginosa,icu,meropenem,0.22325341570635193,0.09402267576700851,False
Pseudomonas aeruginosa,icu,piperacillin/tazobactam,0.25925063802666587,0.07903305166191588,False
Pseudomonas aeruginosa,in,Sensitive/None,0.028629133240791898,0.48545815291001704,True
Pseudomonas aeruginosa,in,amikacin,0.2560238917103579,0.2728397833693803,False
Pseudomonas aeruginosa,in,cefepime,0.08431229818712555,0.0,False
Pseudomonas aeruginosa,in,ceftazidime,0.10469928736690855,0.3572725262785259,True
Pseudomonas aeruginosa,in,ciprofloxacin,0.06299451485608167,0.48335539138035244,True
Pseudomonas aeruginosa,in,colistin,0.1240877983587869,0.0,False
Pseudomonas aeruginosa,in,gentamicin,-0.023578512601753854,0.3090268013701455,True
Pseudomonas aeruginosa,in,imipenem,0.0036449641995513218,0.07668869923251365,False
Pseudomonas aeruginosa,in,levofloxacin,0.4704998083516755,0.0,True
Pseudomonas aeruginosa,in,meropenem,0.08256530084924954,0.3390466477957692,True
Pseudomonas aeruginosa,in,piperacillin/tazobactam,0.020013397978202417,0.277250700165689,False
Pseudomonas aeruginosa,out,Sensitive/None,0.10971792757046867,0.0825609884527635,False
Pseudomonas aeruginosa,out,amikacin,0.25157627603992255,0.068218776336893,False
Pseudomonas aeruginosa,out,cefepime,0.31321203016434596,0.0005860126839181135,False
Pseudomonas aeruginosa,out,ceftazidime,0.3265843799669587,0.21754058183971536,False
Pseudomonas aeruginosa,out,ciprofloxacin,0.21587856895274748,0.2224157651946389,False
Pseudomonas aeruginosa,out,colistin,-0.003530866664569578,0.0,False
Pseudomonas aeruginosa,out,gentamicin,0.31169621000396797,0.0,False
Pseudomonas aeruginosa,out,imipenem,-0.013541620151471038,0.1857362041570757,False
Pseudomonas aeruginosa,out,levofloxacin,0.6188888417854554,0.17105201241894719,True
Pseudomonas aeruginosa,out,meropenem,0.24187692613817138,0.23951912547421528,False
Pseudomonas aeruginosa,out,piperacillin/tazobactam,0.21869473605043888,0.3501044337761168,True
Staphylococcus aureus,icu,Sensitive/None,0.26563287749952935,0.0,False
Staphylococcus aureus,icu,cefoxitin,0.18773502174425288,0.0,False
Staphylococcus aureus,icu,ciprofloxacin,0.20032771965616214,0.0,False
Staphylococcus aureus,icu,clindamycin,0.3206668274458448,0.0,False
Staphylococcus aureus,icu,erythromycin,0.3459859909463024,0.0,False
Staphylococcus aureus,icu,gentamicin,0.5201127575523653,0.0,True
Staphylococcus aureus,icu,levofloxacin,0.15545767666248395,0.0,False
Staphylococcus aureus,icu,oxacillin,0.24016746461386934,0.0,False
Staphylococcus aureus,icu,tetracycline,0.2023364237661091,0.0,False
Staphylococcus aureus,icu,trimethoprim/sulfamethoxazole,0.04672850800421835,0.0,False
Staphylococcus aureus,icu,vancomycin,-0.053573184306884965,0.0,False
Staphylococcus aureus,in,Sensitive/None,0.3057044916479388,0.033844173704818625,False
Staphylococcus aureus,in,cefoxitin,0.07197575120982225,0.0,False
Staphylococcus aureus,in,ciprofloxacin,0.12216929000054495,0.03751108226647215,False
